epoch,step,tr_acc,tr_loss,val_dcg@10,val_loss
0,499,0.30774205923080444,0.11977081000804901,,
0,999,0.40656760334968567,0.09815313667058945,,
0,1499,0.4004039168357849,0.10335048288106918,,
0,1736,,,0.3654763102531433,0.09609232097864151
1,1999,0.45118361711502075,0.09293003380298615,,
1,2499,0.28454795479774475,0.09395308047533035,,
1,2999,0.498003751039505,0.09230762720108032,,
1,3473,,,0.44157174229621887,0.08918669074773788
2,3499,0.39728736877441406,0.09600277245044708,,
2,3999,0.3476036787033081,0.0886135995388031,,
2,4499,0.4129628539085388,0.09708812832832336,,
2,4999,0.355925053358078,0.09191765636205673,,
2,5210,,,0.44629180431365967,0.0861230343580246
3,5499,0.3946443796157837,0.08576460182666779,,
3,5999,0.47846657037734985,0.09225885570049286,,
3,6499,0.37715357542037964,0.08555634319782257,,
3,6947,,,0.4002673327922821,0.08315574377775192
4,6999,0.3027119040489197,0.08841510117053986,,
4,7499,0.22133170068264008,0.08876541256904602,,
4,7999,0.366191565990448,0.08564358204603195,,
4,8499,0.39500898122787476,0.08091701567173004,,
4,8684,,,0.42831096053123474,0.08132106810808182
5,8999,0.42936253547668457,0.09095361828804016,,
5,9499,0.5207767486572266,0.0770941823720932,,
5,9999,0.4691815972328186,0.08338241279125214,,
5,10421,,,0.4658013582229614,0.07990390062332153
6,10499,0.43328920006752014,0.08783642202615738,,
6,10999,0.43655484914779663,0.07724063843488693,,
6,11499,0.4649723172187805,0.08135835826396942,,
6,11999,0.5661478638648987,0.08323615789413452,,
6,12158,,,0.5428358316421509,0.07863202691078186
7,12499,0.49377328157424927,0.08450034260749817,,
7,12999,0.31419944763183594,0.07915695756673813,,
7,13499,0.4027542769908905,0.0790635496377945,,
7,13895,,,0.4810199737548828,0.07767725735902786
8,13999,0.4210801422595978,0.08368393778800964,,
8,14499,0.36959898471832275,0.08364629745483398,,
8,14999,0.49511146545410156,0.08301176875829697,,
8,15499,0.48104000091552734,0.07733594626188278,,
8,15632,,,0.525034487247467,0.07721378654241562
9,15999,0.5047781467437744,0.07712114602327347,,
9,16499,0.5466625094413757,0.08051624894142151,,
9,16999,0.4819658696651459,0.07902917265892029,,
9,17369,,,0.5387889742851257,0.07648055255413055
