epoch,step,tr_TV_reward,tr_acc_ranker,tr_loss_ranker,tr_loss_reward,val_TV_reward,val_acc_ranker,val_loss_ranker,val_loss_reward
0,499,12.140776281154388,0.6642001867294312,0.3950146436691284,0.6507307496483044,,,,
0,999,12.03608364562682,0.6693964004516602,0.42071813344955444,0.6374424816129204,,,,
0,1499,11.53799715032909,0.6584190130233765,0.41218850016593933,0.639832247183793,,,,
0,1736,,,,,12.077728332961218,0.6572322249412537,0.4505670964717865,0.6426150631037835
1,1999,12.346655190807823,0.6604810953140259,0.4238414764404297,0.6440421429317387,,,,
1,2499,12.040312149439497,0.662105917930603,0.42090272903442383,0.6395953443553382,,,,
1,2999,12.595537791523016,0.6452453136444092,0.4314899742603302,0.6491669044362816,,,,
1,3473,,,,,12.179754713681131,0.6766632199287415,0.43630698323249817,0.6445709983570679
2,3499,12.576452797406192,0.642913818359375,0.4387998580932617,0.64651063802573,,,,
2,3999,12.254982650921498,0.6582571864128113,0.4196392297744751,0.6456534435427159,,,,
2,4499,11.84462279831031,0.6385952234268188,0.4357543885707855,0.6426328512153462,,,,
2,4999,12.210937695538504,0.6392976641654968,0.40891286730766296,0.6415687944016106,,,,
2,5210,,,,,12.055651185117759,0.63710618019104,0.43701356649398804,0.6415866821931243
3,5499,12.406815803675297,0.6328473091125488,0.4325973391532898,0.6460988504948091,,,,
3,5999,12.632954085690745,0.6359803676605225,0.43329036235809326,0.6494129796353918,,,,
3,6499,12.688293069862109,0.6603212356567383,0.39901137351989746,0.6534200534602979,,,,
3,6947,,,,,12.470777563300347,0.6659168004989624,0.4233962595462799,0.6469432766282102
4,6999,12.381410840216716,0.6215623617172241,0.4338916838169098,0.650193031888288,,,,
4,7499,13.056964882201765,0.6274864673614502,0.4204519987106323,0.6522955822923583,,,,
4,7999,12.458236258762579,0.6449811458587646,0.4187476336956024,0.6451108535209613,,,,
4,8499,12.757424528388874,0.5967183113098145,0.41745486855506897,0.6519303912255082,,,,
4,8684,,,,,12.356455594258952,0.6309213638305664,0.39935940504074097,0.644059207048845
5,8999,12.86231777608926,0.6214662790298462,0.39119741320610046,0.6467811314868761,,,,
5,9499,12.125486549242051,0.6474627256393433,0.3851567506790161,0.6426373598310885,,,,
5,9999,13.288117605035772,0.5786567330360413,0.43016213178634644,0.6568155900843125,,,,
5,10421,,,,,12.288721692404623,0.6114165782928467,0.43350276350975037,0.6444524303756023
6,10499,12.37182444273713,0.5826566219329834,0.4220164716243744,0.6398100191171878,,,,
6,10999,13.102809136840772,0.5855558514595032,0.4219256043434143,0.641402428649997,,,,
6,11499,12.941771168339363,0.6148345470428467,0.40668362379074097,0.6442742469826677,,,,
6,11999,12.71209219215088,0.6111521124839783,0.4097883701324463,0.6456163190526732,,,,
6,12158,,,,,12.459972090231965,0.6039024591445923,0.390096515417099,0.6447712454050909
7,12499,12.336292386470916,0.6321053504943848,0.40690183639526367,0.6446690394009482,,,,
7,12999,13.129496177129884,0.596345067024231,0.4198974668979645,0.6492863434811871,,,,
7,13499,13.152997253774712,0.6182237267494202,0.37730133533477783,0.6513951931583435,,,,
7,13895,,,,,13.043604636725451,0.6423982977867126,0.3784894347190857,0.6518090109350263
8,13999,12.922326844873481,0.6154786348342896,0.3766326606273651,0.6540454804897693,,,,
8,14499,12.806966678402102,0.6085658073425293,0.37385886907577515,0.6537815500687625,,,,
8,14999,13.1549945169989,0.6141741275787354,0.3691501021385193,0.6618621802366378,,,,
8,15499,12.997027509726935,0.6027780771255493,0.3692016899585724,0.650169081895762,,,,
8,15632,,,,,12.642082221478255,0.5775929689407349,0.3771527409553528,0.6469950505500923
9,15999,12.81903233163338,0.5927351713180542,0.37589240074157715,0.6553988058390183,,,,
9,16499,12.66671121181827,0.5903573036193848,0.37669235467910767,0.6456283633297054,,,,
9,16999,12.631301100396431,0.6025208234786987,0.3745361566543579,0.6526124861171834,,,,
9,17369,,,,,13.019267734389798,0.6547000408172607,0.37621739506721497,0.6510853801628812
10,17499,12.933237294559113,0.6175146102905273,0.3705490231513977,0.6540432889385221,,,,
10,17999,12.456900027804494,0.5986505746841431,0.3717750310897827,0.64553723427996,,,,
10,18499,13.798351604982678,0.6566967964172363,0.3671320676803589,0.662772035642806,,,,
10,18999,12.622878202591249,0.5922560691833496,0.3715258836746216,0.6560874408344882,,,,
10,19106,,,,,12.583723778464242,0.5774407982826233,0.3789825141429901,0.6463378763600837
11,19499,13.317631175222541,0.6269174814224243,0.3692902624607086,0.6562037775892606,,,,
11,19999,13.233552770910471,0.6166784763336182,0.37377873063087463,0.6556413506112747,,,,
11,20499,13.170473768314807,0.6301729083061218,0.3714967370033264,0.6593088313567487,,,,
11,20843,,,,,12.342712803937964,0.5387033820152283,0.3708059787750244,0.6429684754731778
12,20999,12.889150632670237,0.6101952791213989,0.36938542127609253,0.6503952997884301,,,,
12,21499,13.089488070684695,0.598527729511261,0.373248428106308,0.6618518441925054,,,,
12,21999,12.829644701298335,0.5912514925003052,0.3716784715652466,0.6475877314034195,,,,
12,22499,13.864083550766857,0.6438943147659302,0.3677423894405365,0.6591661469948463,,,,
12,22580,,,,,13.06868140657388,0.5906391143798828,0.3678094148635864,0.6511160550965617
13,22999,13.710980494109588,0.6445375680923462,0.3660959005355835,0.6507398385153493,,,,
13,23499,13.829170695416664,0.6235544681549072,0.3723178207874298,0.6543663698420175,,,,
13,23999,13.28360922057895,0.628363847732544,0.3695853054523468,0.6548389023558929,,,,
13,24317,,,,,12.854015014969379,0.5682054162025452,0.37041136622428894,0.6482321608812444
