epoch,step,val_TV_reward,val_loss_reward
0,3,54.268616280542325,0.7067935037732523
1,7,128.81158416986347,0.6911356370731286
2,11,213.7757554173467,0.7270312715446574
3,15,286.3509660422409,0.6888367376771695
4,19,363.1854337630569,0.687463768435205
5,23,440.765596708561,0.704084961003276
6,27,514.4094872668556,0.6882339518437184
