epoch,step,tr_acc,tr_loss,val_acc,val_loss
0,499,59.66796875,0.6606339812278748,,
0,999,61.03515625,0.650676965713501,,
0,1499,63.28125,0.6297553777694702,,
0,1736,,,62.154666900634766,0.6301937699317932
1,1999,61.42578125,0.6403031349182129,,
1,2499,62.109375,0.6269117593765259,,
1,2999,62.3046875,0.6251212954521179,,
1,3473,,,62.91554260253906,0.6248670220375061
2,3499,63.0859375,0.6198188066482544,,
2,3999,61.23046875,0.6353013515472412,,
2,4499,64.16015625,0.6182651519775391,,
2,4999,61.328125,0.6289829611778259,,
2,5210,,,63.11136245727539,0.622317910194397
3,5499,64.74609375,0.6182814240455627,,
3,5999,59.765625,0.6304408311843872,,
3,6499,61.5234375,0.6177551746368408,,
3,6947,,,63.518150329589844,0.6193752884864807
4,6999,63.76953125,0.6147201061248779,,
4,7499,63.8671875,0.6206245422363281,,
4,7999,61.9140625,0.6320766806602478,,
4,8499,61.71875,0.6334582567214966,,
4,8684,,,63.80691146850586,0.617946982383728
5,8999,64.55078125,0.6165972948074341,,
5,9499,62.40234375,0.6302840709686279,,
5,9999,64.6484375,0.6073176264762878,,
5,10421,,,63.86079025268555,0.6172261238098145
6,10499,62.3046875,0.6197481751441956,,
6,10999,62.3046875,0.6188173890113831,,
6,11499,62.6953125,0.6264620423316956,,
6,11999,60.3515625,0.6247409582138062,,
6,12158,,,64.13220977783203,0.6162697076797485
7,12499,64.94140625,0.6054325103759766,,
7,12999,65.52734375,0.6097570657730103,,
7,13499,63.76953125,0.611656665802002,,
7,13895,,,64.31607055664062,0.6138036251068115
8,13999,65.8203125,0.6082267761230469,,
8,14499,62.5,0.6329178810119629,,
8,14999,62.98828125,0.6157125234603882,,
8,15499,63.37890625,0.6186181306838989,,
8,15632,,,63.808929443359375,0.6174089312553406
9,15999,62.6953125,0.6307847499847412,,
9,16499,65.8203125,0.6145166158676147,,
9,16999,62.6953125,0.6195235252380371,,
9,17369,,,64.3633804321289,0.6139160394668579
10,17499,61.81640625,0.625505805015564,,
10,17999,65.91796875,0.603084146976471,,
10,18499,66.30859375,0.5984395742416382,,
10,18999,66.89453125,0.6100468635559082,,
10,19106,,,64.52552795410156,0.6122744083404541
11,19499,60.9375,0.6334617137908936,,
11,19999,62.890625,0.6295701265335083,,
11,20499,61.9140625,0.6374866962432861,,
11,20843,,,64.34974670410156,0.614058256149292
12,20999,63.8671875,0.6066763401031494,,
12,21499,63.76953125,0.6133270263671875,,
12,21999,66.11328125,0.6048956513404846,,
12,22499,62.890625,0.6245198845863342,,
12,22580,,,64.03943634033203,0.6161921620368958
13,22999,64.94140625,0.6035396456718445,,
13,23499,66.69921875,0.5853655934333801,,
13,23999,60.83984375,0.6375775337219238,,
13,24317,,,64.61038208007812,0.6125692129135132
14,24499,62.20703125,0.6296297311782837,,
14,24999,64.55078125,0.6037333011627197,,
14,25499,64.35546875,0.605139970779419,,
14,25999,64.94140625,0.6042134761810303,,
14,26054,,,64.43426513671875,0.6124182343482971
15,26499,65.52734375,0.5975625514984131,,
15,26999,64.6484375,0.6096779704093933,,
15,27499,66.89453125,0.588341236114502,,
15,27791,,,64.31707763671875,0.6136576533317566
16,27999,67.48046875,0.5924931764602661,,
16,28499,68.84765625,0.5854694843292236,,
16,28999,63.96484375,0.6090786457061768,,
16,29499,64.2578125,0.6158809661865234,,
16,29528,,,64.73127746582031,0.6130729913711548
17,29999,66.015625,0.6032675504684448,,
17,30499,67.3828125,0.5928899049758911,,
17,30999,65.13671875,0.6121615171432495,,
