epoch,step,tr_acc,tr_loss,val_dcg@10,val_loss
0,499,74.4140625,0.6404825120201567,,
0,999,73.73046875,0.6342431162350598,,
0,1499,72.55859375,0.6416747547087815,,
0,1736,,,3332.9872479929422,0.6393123756984467
1,1999,74.4140625,0.6399435052629392,,
1,2499,74.90234375,0.6352852776907794,,
1,2999,73.046875,0.6393934774051335,,
1,3473,,,3337.9675795799544,0.640131118694364
2,3499,75.390625,0.6345133798141148,,
2,3999,76.7578125,0.6384073202355083,,
2,4499,75.09765625,0.6424162657332195,,
2,4999,74.70703125,0.6366819685436127,,
2,5210,,,3312.840062896314,0.6389444771539488
3,5499,74.90234375,0.6354129275393798,,
3,5999,72.8515625,0.6424850662561907,,
3,6499,76.66015625,0.6369089935418871,,
3,6947,,,3364.043835943546,0.6411777685670729
4,6999,74.609375,0.6411834804928273,,
4,7499,73.33984375,0.6415266442819296,,
4,7999,74.609375,0.6362696438087723,,
4,8499,74.51171875,0.6392627776987452,,
4,8684,,,3314.979001495046,0.638830457128582
5,8999,74.0234375,0.6351508328194737,,
5,9499,73.14453125,0.6346480707133513,,
5,9999,77.63671875,0.6313297495086262,,
5,10421,,,3311.0838301254676,0.6383918657465394
6,10499,75.48828125,0.632830957287851,,
6,10999,76.5625,0.6247654350673177,,
6,11499,73.4375,0.634748048332118,,
6,11999,76.07421875,0.6261234079904752,,
6,12158,,,3325.509917718796,0.6388075142954108
7,12499,77.05078125,0.6284988920526953,,
7,12999,75.1953125,0.6293608518168332,,
7,13499,71.58203125,0.6392436821433866,,
7,13895,,,3342.3107300673714,0.639465551748099
8,13999,75.29296875,0.646832728152205,,
8,14499,73.53515625,0.6472941452774534,,
8,14999,74.0234375,0.6431012935282105,,
8,15499,75.09765625,0.6302669299158421,,
8,15632,,,3332.25854196919,0.6392583015320554
9,15999,75.0,0.6390605154451817,,
9,16499,72.65625,0.6433817403135902,,
9,16999,75.48828125,0.6338208795875873,,
9,17369,,,3324.58996845713,0.6390254613343337
10,17499,75.1953125,0.6379592611615965,,
10,17999,74.4140625,0.6378363307318983,,
10,18499,72.36328125,0.6356038738704297,,
10,18999,75.9765625,0.6408475527972135,,
10,19106,,,3329.5814576429007,0.6390667786685668
11,19499,74.31640625,0.6399118274503515,,
11,19999,76.46484375,0.6339996204200373,,
11,20499,74.0234375,0.6471202233451059,,
11,20843,,,3324.8535266392096,0.6391027902750632
12,20999,75.29296875,0.6347283850600239,,
12,21499,71.77734375,0.6484471463964379,,
12,21999,73.828125,0.635769554949436,,
12,22499,75.29296875,0.639169900724704,,
12,22580,,,3315.8960478478625,0.6387418740461264
13,22999,74.4140625,0.6316623106214463,,
13,23499,75.390625,0.6328306214906125,,
13,23999,75.1953125,0.6323672114404606,,
13,24317,,,3315.5191970193014,0.6389654388909286
14,24499,76.26953125,0.6397676498548004,,
14,24999,71.38671875,0.6495707610502879,,
14,25499,74.12109375,0.6367762508726763,,
14,25999,73.2421875,0.6374026300841155,,
14,26054,,,3352.9349868109925,0.6404511715536488
15,26499,75.78125,0.6453599868480583,,
15,26999,73.6328125,0.6407366383883735,,
15,27499,75.68359375,0.6269671034248211,,
15,27791,,,3311.0741082595496,0.6384990841190034
16,27999,75.48828125,0.6442621337364385,,
16,28499,74.51171875,0.6307680642689368,,
16,28999,74.0234375,0.6391073028874201,,
16,29499,74.51171875,0.6393178758330569,,
16,29528,,,3310.2686772498073,0.6384624734613527
17,29999,74.12109375,0.646099255108231,,
17,30499,73.2421875,0.6349417001824644,,
17,30999,75.0,0.6325157556531618,,
17,31265,,,3312.6681324685082,0.6385411417242587
18,31499,74.90234375,0.6379253996295495,,
18,31999,75.9765625,0.6425995349981298,,
18,32499,73.53515625,0.6444661768316553,,
18,32999,72.16796875,0.6431139495933318,,
18,33002,,,3317.5724733504335,0.638720003594174
19,33499,74.21875,0.6440569593701055,,
19,33999,74.21875,0.6367980328985844,,
19,34499,74.4140625,0.6383589480567059,,
19,34739,,,3314.7067047929736,0.6386588338253572
20,34999,76.171875,0.6371722726351299,,
20,35499,74.51171875,0.6388600767723513,,
20,35999,76.07421875,0.6377752787050521,,
20,36476,,,3307.6493731199707,0.6384174208027141
21,36499,73.828125,0.6471150727044817,,
21,36999,75.1953125,0.6396160486531559,,
21,37499,75.1953125,0.6344240420136233,,
21,37999,74.90234375,0.6396715009862672,,
21,38213,,,3318.5736431143546,0.6387977676458914
22,38499,74.12109375,0.640759606498935,,
22,38999,74.31640625,0.6320688920300976,,
22,39499,74.8046875,0.6304100658520311,,
22,39950,,,3309.9843477952645,0.6384480341152002
23,39999,73.33984375,0.6319118445452145,,
23,40499,75.1953125,0.6245410843094974,,
23,40999,73.33984375,0.6453880786759522,,
23,41499,75.29296875,0.6430357738206347,,
23,41687,,,3316.0386433626204,0.6387543541192433
24,41999,74.21875,0.6392716801169558,,
24,42499,73.33984375,0.6362064040107744,,
24,42999,73.73046875,0.6435545557826297,,
24,43424,,,3315.2751164540846,0.638753056665873
