epoch,step,tr_acc,tr_loss,val_acc,val_loss
0,499,58.30078125,0.715865969657898,,
0,999,60.44921875,0.7111054062843323,,
0,1499,58.88671875,0.7077209949493408,,
0,1736,,,57.85661315917969,0.7371882200241089
1,1999,57.12890625,0.7213308811187744,,
1,2499,60.64453125,0.6714879274368286,,
1,2999,57.421875,0.7160203456878662,,
1,3473,,,57.93844223022461,0.7421656250953674
2,3499,60.64453125,0.6881972551345825,,
2,3999,58.10546875,0.7120231986045837,,
2,4499,59.5703125,0.6914182305335999,,
2,4999,61.9140625,0.6811115741729736,,
2,5210,,,57.48653030395508,0.7505908012390137
3,5499,61.42578125,0.6944897770881653,,
3,5999,57.12890625,0.7201880812644958,,
3,6499,59.86328125,0.7050163745880127,,
3,6947,,,57.365135192871094,0.8181527853012085
4,6999,59.765625,0.7263038158416748,,
4,7499,60.25390625,0.7060984373092651,,
4,7999,57.12890625,0.713370680809021,,
4,8499,58.984375,0.7105013728141785,,
4,8684,,,57.448143005371094,0.8141048550605774
5,8999,57.421875,0.7062119245529175,,
5,9499,57.6171875,0.7229408025741577,,
5,9999,60.25390625,0.7141866683959961,,
5,10421,,,57.46110534667969,0.814576268196106
6,10499,58.10546875,0.7036986351013184,,
6,10999,58.69140625,0.7210080027580261,,
6,11499,58.49609375,0.7190446853637695,,
6,11999,57.91015625,0.6993762254714966,,
6,12158,,,57.45504379272461,0.8146333694458008
7,12499,58.30078125,0.7115254998207092,,
7,12999,58.0078125,0.699745774269104,,
7,13499,58.69140625,0.7155658006668091,,
7,13895,,,57.45016098022461,0.8145164847373962
8,13999,60.15625,0.7183243632316589,,
8,14499,57.12890625,0.7534880638122559,,
8,14999,62.01171875,0.6786953210830688,,
8,15499,54.98046875,0.7359707355499268,,
8,15632,,,57.44915008544922,0.8133365511894226
9,15999,57.71484375,0.7049325704574585,,
9,16499,59.66796875,0.7016652822494507,,
9,16999,60.9375,0.6971780061721802,,
9,17369,,,57.45285415649414,0.8143587112426758
10,17499,60.15625,0.7059121131896973,,
10,17999,60.64453125,0.6948046684265137,,
10,18499,57.51953125,0.7129253149032593,,
10,18999,60.83984375,0.6945507526397705,,
10,19106,,,57.453025817871094,0.8145255446434021
11,19499,58.984375,0.7040284872055054,,
11,19999,56.8359375,0.73271244764328,,
11,20499,57.32421875,0.7246159315109253,,
11,20843,,,57.453025817871094,0.8144872188568115
12,20999,57.71484375,0.7172513008117676,,
12,21499,60.05859375,0.6959843635559082,,
12,21999,59.86328125,0.7045426368713379,,
12,22499,57.6171875,0.7183902859687805,,
12,22580,,,57.45268630981445,0.8146048188209534
13,22999,56.93359375,0.7210439443588257,,
13,23499,59.08203125,0.6999014019966125,,
13,23999,56.15234375,0.75054931640625,,
13,24317,,,57.45268630981445,0.8146036863327026
14,24499,55.46875,0.7467966675758362,,
14,24999,58.30078125,0.7266474962234497,,
14,25499,59.1796875,0.7063902616500854,,
14,25999,57.6171875,0.7419021129608154,,
14,26054,,,57.453529357910156,0.8145507574081421
15,26499,57.71484375,0.7275049090385437,,
15,26999,56.8359375,0.767862856388092,,
15,27499,59.66796875,0.6967923045158386,,
15,27791,,,57.45133972167969,0.8145211338996887
16,27999,58.69140625,0.7079394459724426,,
16,28499,61.1328125,0.6880753636360168,,
