epoch,step,tr_TV_reward,tr_acc_ranker,tr_loss_ranker,tr_loss_reward,val_TV_reward,val_acc_ranker,val_loss_ranker
0,499,13.1225675631429,0.6973584890365601,0.33347174525260925,0.6634026067509617,,,
0,999,12.27589765615224,0.6266627311706543,0.39634257555007935,0.6366174059631273,,,
0,1499,11.630282324763023,0.6149880886077881,0.41060397028923035,0.6375000576864983,,,
0,1736,,,,,11.728218725875609,0.5899472832679749,0.4198800027370453
1,1999,12.055229416645844,0.6194815635681152,0.40378886461257935,0.6408782435021532,,,
1,2499,11.569573035479792,0.5869017839431763,0.4343468248844147,0.6342338206332949,,,
1,2999,11.68078197007344,0.6046237945556641,0.4192383885383606,0.6389461262760988,,,
1,3473,,,,,11.745070816128838,0.5500457882881165,0.46186932921409607
2,3499,11.505151830241967,0.5832167863845825,0.4422471523284912,0.6309466359221902,,,
2,3999,11.491837976653215,0.5913845300674438,0.43453237414360046,0.6395578583728903,,,
2,4499,11.035073609701579,0.5968887805938721,0.42859452962875366,0.6325735254535715,,,
2,4999,11.414945880066256,0.5777052640914917,0.4435672461986542,0.6316891824997314,,,
2,5210,,,,,11.487202946848631,0.5554637908935547,0.44959738850593567
3,5499,11.846881556363648,0.6149477362632751,0.41051119565963745,0.6410998389674193,,,
3,5999,11.910246349807924,0.6361454725265503,0.38786858320236206,0.6406391312027415,,,
3,6499,12.287945708488204,0.6380492448806763,0.3866365849971771,0.6481473005917137,,,
3,6947,,,,,15.265378313032425,0.5588675737380981,0.4969155192375183
4,6999,12.224265144465994,0.6486201286315918,0.3814275562763214,0.6426531979436008,,,
4,7499,11.875502563747894,0.595238447189331,0.4294307231903076,0.6377485459691896,,,
4,7999,11.529665372608573,0.6049543023109436,0.4171184301376343,0.6343638516046177,,,
4,8499,11.57947440145159,0.5816465616226196,0.43887314200401306,0.6386418331248533,,,
4,8684,,,,,11.999746755661409,0.564517080783844,0.4228666126728058
5,8999,11.58503306916736,0.5817762613296509,0.43985456228256226,0.6315572389665329,,,
5,9499,11.763415729686402,0.6039773225784302,0.42301204800605774,0.6363810118051119,,,
5,9999,11.876996669576172,0.6159038543701172,0.40890365839004517,0.6397064842152783,,,
5,10421,,,,,12.39995007417829,0.6389764547348022,0.4065006971359253
6,10499,11.748332214098529,0.61359703540802,0.41327816247940063,0.6323825147602361,,,
6,10999,11.96431565946381,0.6160775423049927,0.4115355908870697,0.6279449437972292,,,
6,11499,12.162424676787325,0.6316614151000977,0.39501646161079407,0.634704060799706,,,
6,11999,10.985481967893296,0.5978697538375854,0.43024978041648865,0.629719254084772,,,
6,12158,,,,,11.383818843981777,0.5809153914451599,0.42360830307006836
7,12499,11.0559393030561,0.6029680967330933,0.4204333424568176,0.6268949331504383,,,
7,12999,11.680216961963342,0.6093931198120117,0.41687607765197754,0.6311748675542195,,,
7,13499,11.524563241007776,0.6123549342155457,0.41363102197647095,0.6331707964624992,,,
7,13895,,,,,11.903648268869262,0.5477779507637024,0.44534197449684143
8,13999,11.139807201416982,0.6012731790542603,0.42261528968811035,0.633423306432987,,,
8,14499,12.149136923918196,0.6513915061950684,0.3782505691051483,0.6473657722710894,,,
8,14999,12.192683447779558,0.6292740106582642,0.3965730667114258,0.6503521371646641,,,
8,15499,11.316778344271968,0.5991252660751343,0.4224214553833008,0.6324199355679992,,,
8,15632,,,,,11.761759539532134,0.6086151003837585,0.41719335317611694
9,15999,11.07929274987827,0.5947129726409912,0.4299292266368866,0.6367436167054872,,,
9,16499,11.56132425936826,0.5857548713684082,0.4377255439758301,0.6339666475221803,,,
9,16999,11.252488396663095,0.5810360312461853,0.44235190749168396,0.637174224635978,,,
9,17369,,,,,11.26669071060488,0.5463952422142029,0.45968663692474365
10,17499,11.29526714014996,0.6042929291725159,0.42241567373275757,0.6335190642261768,,,
10,17999,11.108274283600403,0.5971226692199707,0.4292444586753845,0.6315805796841771,,,
10,18499,11.807017776799302,0.5991304516792297,0.4240852892398834,0.6367784130795875,,,
10,18999,12.138609214630371,0.6512218713760376,0.3757840692996979,0.6471238596942426,,,
10,19106,,,,,14.609394500417705,0.5763444900512695,0.47922515869140625
11,19499,11.691584656000295,0.5958706140518188,0.42599058151245117,0.6365301627907536,,,
11,19999,11.364041187242321,0.5979595184326172,0.42140334844589233,0.6345599954848382,,,
11,20499,11.420895292164051,0.5827875137329102,0.433940052986145,0.6399615719506417,,,
11,20843,,,,,11.96154574466862,0.5870336890220642,0.4105707108974457
12,20999,11.532603564907003,0.5961087346076965,0.42251265048980713,0.6340892775489864,,,
12,21499,11.5032406134716,0.5972416400909424,0.42392611503601074,0.6454895649568666,,,
12,21999,11.825222647450673,0.5957362055778503,0.42693209648132324,0.6359915910352096,,,
12,22499,12.009920914080547,0.5900708436965942,0.43159428238868713,0.6403519922259434,,,
12,22580,,,,,11.50764923448453,0.5512405633926392,0.4494569003582001
13,22999,11.896281406811145,0.5990772843360901,0.41905081272125244,0.6309561504663752,,,
13,23499,11.790897088057378,0.585891604423523,0.43198996782302856,0.629018921955804,,,
13,23999,11.38795399292963,0.5779540538787842,0.4375372529029846,0.63272064486394,,,
13,24317,,,,,11.383743037594597,0.5525252819061279,0.4362736642360687
14,24499,11.485725563362193,0.594489336013794,0.4276268482208252,0.642201856384289,,,
14,24999,11.48507195596692,0.5958304405212402,0.4213668406009674,0.6375642140349239,,,
14,25499,11.91579567902313,0.6108479499816895,0.4125549793243408,0.6385916966158023,,,
14,25999,11.362470633042538,0.5868912935256958,0.43296313285827637,0.6280254815986743,,,
14,26054,,,,,11.237057363330186,0.5409390926361084,0.4573984146118164
15,26499,11.737630827230927,0.6214746236801147,0.4046885669231415,0.644625105632005,,,
15,26999,12.195657120306283,0.6417823433876038,0.38358864188194275,0.6439646105509742,,,
15,27499,11.79227382096213,0.6055038571357727,0.42233312129974365,0.6296813753878534,,,
15,27791,,,,,11.663737090368846,0.6155111193656921,0.40639838576316833
16,27999,11.577961099795761,0.6110400557518005,0.4128222167491913,0.6435548718151258,,,
16,28499,11.654099873231424,0.6318478584289551,0.39235788583755493,0.6298921279968636,,,
16,28999,12.228499648637039,0.6022292375564575,0.42017990350723267,0.6417426442429858,,,
16,29499,11.650738369594043,0.5767068862915039,0.4394458532333374,0.6409724237721987,,,
16,29528,,,,,11.511507499576673,0.53819340467453,0.44239819049835205
17,29999,11.119331051426808,0.60670405626297,0.4187356233596802,0.6370311122211241,,,
17,30499,12.360612229666842,0.6082423329353333,0.4134250283241272,0.6408680356077883,,,
17,30999,12.050693389592887,0.6303744316101074,0.39193373918533325,0.6378937351624729,,,
17,31265,,,,,13.16570047495191,0.5634229183197021,0.4663230776786804
18,31499,12.312979359538957,0.6179441213607788,0.4033716022968292,0.6399686599253496,,,
18,31999,11.965393929899866,0.6190741658210754,0.40638279914855957,0.6470967853652069,,,
18,32499,11.36734519555759,0.6271092295646667,0.3948495388031006,0.6411643088476136,,,
18,32999,11.861219237098535,0.6092255115509033,0.41091400384902954,0.6390647688933592,,,
18,33002,,,,,13.715735640811406,0.5528054237365723,0.4792139530181885
19,33499,11.59918948062792,0.6182820796966553,0.40388476848602295,0.6373543978410181,,,
19,33999,11.614886402442336,0.62718665599823,0.3996785879135132,0.6326029964272184,,,
19,34499,12.227876388320274,0.6120116114616394,0.41287103295326233,0.636569968736962,,,
19,34739,,,,,12.469279575233212,0.5607059597969055,0.45760244131088257
20,34999,11.793281634380191,0.615828275680542,0.4090331196784973,0.639598296360093,,,
20,35499,12.022791763584511,0.6075402498245239,0.4147551357746124,0.6411117022564333,,,
20,35999,12.400845454172268,0.6042781472206116,0.4196171164512634,0.6432415978883012,,,
20,36476,,,,,12.601053983505057,0.5590053200721741,0.45707255601882935
21,36499,11.506807827459605,0.6021073460578918,0.4200022220611572,0.6430816465134094,,,
21,36999,12.204316101534204,0.6079492568969727,0.41417068243026733,0.63861729445607,,,
21,37499,12.128650462294686,0.5978575944900513,0.42376136779785156,0.6330227142491891,,,
21,37999,11.681035833209581,0.6027477979660034,0.4188579320907593,0.6365357375654269,,,
21,38213,,,,,12.14672974088054,0.5696625113487244,0.4471493363380432
22,38499,11.824434270423337,0.5997666120529175,0.42340344190597534,0.641928370270775,,,
22,38999,11.385552158067311,0.5932081937789917,0.4298861026763916,0.6303935560445366,,,
22,39499,11.052705137103702,0.6027784943580627,0.4220832586288452,0.6312332040933425,,,
22,39950,,,,,11.565545128136055,0.5881080031394958,0.43233683705329895
23,39999,11.881670248030794,0.609784722328186,0.4156200885772705,0.6318871834850732,,,
23,40499,11.62180381644278,0.6099772453308105,0.41806554794311523,0.6221289523165008,,,
23,40999,12.20931007828926,0.6019827127456665,0.42334339022636414,0.6447992965665854,,,
23,41499,11.484839589648159,0.5999374389648438,0.4276241660118103,0.6359488955255992,,,
23,41687,,,,,11.32787856016519,0.5804411768913269,0.43314534425735474
24,41999,11.190863693939043,0.5946546792984009,0.43157723546028137,0.6318770462283346,,,
24,42499,11.998679165975915,0.5992339849472046,0.42646369338035583,0.6380852139646234,,,
24,42999,11.92522558065068,0.5973081588745117,0.43049702048301697,0.6393781646877572,,,
24,43424,,,,,11.281198289744218,0.5641096234321594,0.4344691038131714
25,43499,11.718182538881532,0.5968157649040222,0.42881283164024353,0.6329322481114124,,,
25,43999,10.835744179590073,0.5952270030975342,0.4298126697540283,0.6276186485766042,,,
25,44499,11.299174994869947,0.5923199653625488,0.42984071373939514,0.6322507886942519,,,
25,44999,11.496597733533445,0.5948471426963806,0.4313054382801056,0.6360331235816366,,,
25,45161,,,,,11.169061016870863,0.5587146878242493,0.4366479218006134
