epoch,step,tr_acc_ranker,tr_loss_ranker,val_acc_ranker,val_loss_ranker
19,33499,0.9359291791915894,0.07024900615215302,,
19,33999,0.9355617165565491,0.07055747509002686,,
19,34499,0.9338424801826477,0.07229116559028625,,
19,34739,,,0.9374444484710693,0.06882533431053162
20,34999,0.9321151971817017,0.07390858978033066,,
20,35499,0.9371076822280884,0.06915289908647537,,
20,35999,0.9354492425918579,0.0713728666305542,,
20,36476,,,0.9378300905227661,0.06842450797557831
21,36499,0.9366645812988281,0.0695747584104538,,
21,36999,0.9315291047096252,0.07532395422458649,,
21,37499,0.9340603351593018,0.072821244597435,,
21,37999,0.9384423494338989,0.06826175004243851,,
21,38213,,,0.9379259943962097,0.06831541657447815
22,38499,0.9392271041870117,0.06747947633266449,,
22,38999,0.9362592697143555,0.07000698149204254,,
22,39499,0.9392329454421997,0.06673575937747955,,
22,39950,,,0.9381090998649597,0.0681207999587059
23,39999,0.9345743060112,0.07226265966892242,,
23,40499,0.9403457641601562,0.06592634320259094,,
23,40999,0.9363804459571838,0.06989085674285889,,
23,41499,0.9357703328132629,0.07127760350704193,,
23,41687,,,0.9382985234260559,0.06791757792234421
24,41999,0.940147876739502,0.06611660122871399,,
24,42499,0.9336975812911987,0.07296131551265717,,
24,42999,0.9397262930870056,0.0655936524271965,,
24,43424,,,0.9385172724723816,0.06767717748880386
25,43499,0.9334304332733154,0.07329686731100082,,
25,43999,0.9411369562149048,0.06509970128536224,,
25,44499,0.9352027773857117,0.07035022974014282,,
25,44999,0.9385702610015869,0.06754178553819656,,
25,45161,,,0.9385712742805481,0.06762941181659698
