epoch,step,tr_TV_reward,tr_acc_ranker,tr_loss_ranker,tr_loss_reward,val_TV_reward,val_acc_ranker,val_loss_ranker,val_loss_reward
0,499,11.601321445587214,0.6025476455688477,0.4376133382320404,0.6443167988677189,,,,
0,999,11.577802002188935,0.5789055824279785,0.45626378059387207,0.6307163000298708,,,,
0,1499,11.025165839410576,0.563915491104126,0.4673517942428589,0.6326028616146362,,,,
0,1736,,,,,11.343380238089146,0.5523670315742493,0.486329585313797,0.634060733503255
1,1999,10.659164176294597,0.5659838318824768,0.4784044325351715,0.6282731189221137,,,,
1,2499,11.027250146792968,0.5633068084716797,0.4786176085472107,0.6293320519487282,,,,
1,2999,11.260360305618784,0.5575095415115356,0.49201130867004395,0.6357200741584835,,,,
1,3473,,,,,10.637012488236383,0.5635178089141846,0.47587311267852783,0.6288531003974152
2,3499,10.765519544483155,0.5645140409469604,0.4816741943359375,0.6275635293916869,,,,
2,3999,11.500824610965545,0.639453649520874,0.4069838225841522,0.6383978652118959,,,,
2,4499,11.3530001072092,0.5621563792228699,0.46211519837379456,0.635702205515559,,,,
2,4999,11.502260431415557,0.5845345258712769,0.44138026237487793,0.6339561097009835,,,,
2,5210,,,,,11.242721116722027,0.5623441934585571,0.47106048464775085,0.6330270239939033
3,5499,10.781611095319896,0.5666662454605103,0.4596351385116577,0.631250858523204,,,,
3,5999,10.826865936084678,0.5699622631072998,0.47351232171058655,0.6303424956851532,,,,
3,6499,10.882814068712381,0.5647398829460144,0.47975292801856995,0.6357035342268229,,,,
3,6947,,,,,10.867494366512293,0.5784326791763306,0.4635987877845764,0.6311283843937211
4,6999,10.642164509652176,0.5785382986068726,0.46731340885162354,0.6300118004998996,,,,
4,7499,11.33258475030402,0.5803192853927612,0.4570649266242981,0.6341149249725813,,,,
4,7999,13.363049590290245,0.7623993158340454,0.25907158851623535,0.6557595713376554,,,,
4,8499,10.863700874150748,0.5651519298553467,0.45725518465042114,0.6324575754666413,,,,
4,8684,,,,,11.136429737608154,0.6014388799667358,0.44610831141471863,0.6325966202079344
5,8999,11.338063495463352,0.5739362239837646,0.4543266296386719,0.6296067932093671,,,,
5,9499,11.162384077726593,0.5898123979568481,0.4389832019805908,0.63028207916926,,,,
5,9999,10.802974878192414,0.5723874568939209,0.4494929611682892,0.6312243516614702,,,,
5,10421,,,,,11.004606053264324,0.5852785706520081,0.4405365586280823,0.6319481066498224
6,10499,10.769970465605514,0.5894581079483032,0.4457225203514099,0.623670724235152,,,,
6,10999,11.562674175872584,0.6010595560073853,0.4384220838546753,0.6239893167040793,,,,
6,11499,11.66450092498247,0.5765731334686279,0.4496185779571533,0.6296767560672838,,,,
6,11999,10.655581919118836,0.5681177377700806,0.4578756093978882,0.6268724641208202,,,,
6,12158,,,,,12.684353252170594,0.5531297326087952,0.4719938039779663,0.6456764277971394
7,12499,10.612717454186637,0.5653800964355469,0.45463186502456665,0.623320958185372,,,,
7,12999,10.849538476613157,0.5701049566268921,0.45630118250846863,0.6237564094009315,,,,
7,13499,11.256548733085637,0.5623357892036438,0.46120065450668335,0.6301830468914492,,,,
7,13895,,,,,10.873333556928662,0.5655319690704346,0.47379177808761597,0.6303093936810279
8,13999,11.148244585931934,0.5893706679344177,0.4389040470123291,0.6349389815933417,,,,
8,14499,10.917889005378054,0.5650457739830017,0.4620720446109772,0.6367527654530354,,,,
8,14999,11.610653416871973,0.5931171774864197,0.43423327803611755,0.6438559361422043,,,,
8,15499,10.84426904694238,0.5708895325660706,0.45217522978782654,0.6276112087034356,,,,
8,15632,,,,,11.60075199744384,0.574740469455719,0.4470730423927307,0.6359675976393213
9,15999,10.763344213032996,0.5982635021209717,0.43666625022888184,0.6354274627799074,,,,
9,16499,11.281148592900983,0.5512226819992065,0.47894781827926636,0.6310833840368042,,,,
9,16999,11.482074512053153,0.6168197393417358,0.41487181186676025,0.6405481254530827,,,,
9,17369,,,,,12.400188937888121,0.5592818856239319,0.43829604983329773,0.6456851299957532
10,17499,10.695291954169713,0.5819835662841797,0.4421289563179016,0.6296244172660508,,,,
10,17999,10.978234871640032,0.5753801465034485,0.44400739669799805,0.6303704694826517,,,,
10,18499,11.82470682578987,0.6093296408653259,0.42187270522117615,0.636897240237973,,,,
10,18999,10.816044588584248,0.5840129852294922,0.4361366629600525,0.6349485016074885,,,,
10,19106,,,,,10.999336835265082,0.5608794093132019,0.4429475963115692,0.6310985592795936
11,19499,11.051704157780426,0.5979974269866943,0.42506054043769836,0.632781907628212,,,,
11,19999,10.762788988525907,0.5704761743545532,0.4493962228298187,0.6277150631368036,,,,
11,20499,11.477472025882642,0.5898098945617676,0.4417668282985687,0.6412038908610502,,,,
