epoch,step,tr_TV_reward,tr_acc_ranker,tr_loss_cls,tr_loss_ranker,tr_loss_reward,val_TV_reward,val_acc_ndcg_ranker,val_acc_prob_click,val_loss_ranker,val_loss_reward
0,499,11.907986385395715,0.854198694229126,0.05015607178211212,0.1584363877773285,0.655765488567419,,,,,
0,999,12.117662917866706,0.8672882318496704,0.051328472793102264,0.1472630351781845,0.6430348390147996,,,,,
0,1499,12.07693675000739,0.7562036514282227,0.04576413333415985,0.2710830569267273,0.6460645108198602,,,,,
0,1736,,,,,,11.879829746398471,0.8432478308677673,0.4046627009223862,0.17503319680690765,0.6452471999600502
1,1999,12.077223815581101,0.8567428588867188,0.04433693736791611,0.1591857373714447,0.6472830022299529,,,,,
1,2499,11.482610924458049,0.8033856153488159,0.041823357343673706,0.2241063416004181,0.6362422902183031,,,,,
1,2999,12.1749204310222,0.5974334478378296,0.041776709258556366,0.4497518539428711,0.6428520143579332,,,,,
1,3473,,,,,,12.197299629478977,0.5944987535476685,0.38852812820718835,0.45211371779441833,0.6426293600380398
2,3499,11.60927522225741,0.6187953948974609,0.04354286938905716,0.42691802978515625,0.6331338088998031,,,,,
2,3999,11.948152622113636,0.8325813412666321,0.0421590581536293,0.1856614500284195,0.6474918587441794,,,,,
2,4499,11.35830409182541,0.8328427672386169,0.040611304342746735,0.19045346975326538,0.6426978190600309,,,,,
2,4999,11.701990901748463,0.824876606464386,0.040219977498054504,0.19692179560661316,0.6409695825786998,,,,,
2,5210,,,,,,11.738160106469538,0.8483482003211975,0.4104101022341625,0.1691993772983551,0.644658679403095
3,5499,11.775624752516553,0.8473834991455078,0.038962215185165405,0.17243866622447968,0.6457936358419644,,,,,
3,5999,11.666350796909033,0.8099192380905151,0.03949405252933502,0.21654199063777924,0.6437077849784228,,,,,
3,6499,10.867822079268315,0.7885363698005676,0.03778441995382309,0.23799359798431396,0.6371717108840755,,,,,
3,6947,,,,,,11.002411500696025,0.7983831763267517,0.3890319150704639,0.22691000998020172,0.6336016093158325
4,6999,11.599863795568838,0.809975266456604,0.038355421274900436,0.2106611728668213,0.6427329535147754,,,,,
4,7499,11.229871761140437,0.8270508646965027,0.03622609004378319,0.1955559402704239,0.637951233235651,,,,,
4,7999,11.920461294553604,0.8223503828048706,0.03752385079860687,0.20043301582336426,0.6419340868048314,,,,,
4,8499,10.680557700236697,0.7924835085868835,0.036842457950115204,0.23718944191932678,0.6331909815433706,,,,,
4,8684,,,,,,11.295913665157038,0.8251050114631653,0.40580965860511603,0.1959773600101471,0.6399187282741874
5,8999,11.266352039603468,0.8005251884460449,0.03579949960112572,0.22412729263305664,0.6326856368588187,,,,,
5,9499,10.636453801185514,0.8110096454620361,0.03557714819908142,0.21193742752075195,0.6279324332104516,,,,,
5,9999,10.454850608063758,0.7883291244506836,0.036518506705760956,0.2362857460975647,0.6283590098251487,,,,,
5,10421,,,,,,10.715863704391575,0.5734002590179443,0.39635214043590944,0.4685097932815552,0.6300452142164347
6,10499,11.048510124645714,0.5862888097763062,0.03798366338014603,0.4609072208404541,0.6280596626102963,,,,,
6,10999,10.873699668760546,0.5728093385696411,0.0378510057926178,0.4764840006828308,0.6199915836056469,,,,,
6,11499,10.694374968386441,0.5956356525421143,0.03777684271335602,0.44523826241493225,0.6240181948213547,,,,,
6,11999,10.60162192819227,0.5962294340133667,0.036421988159418106,0.44662803411483765,0.6278255501054153,,,,,
6,12158,,,,,,10.399657129435255,0.601102888584137,0.40412284808137006,0.4533580243587494,0.6283026856238794
7,12499,10.22827680990242,0.5996710062026978,0.036541372537612915,0.44907844066619873,0.6222396174421498,,,,,
7,12999,10.174470219951594,0.6014812588691711,0.03537914529442787,0.4460528492927551,0.6199170361236361,,,,,
7,13499,11.171188177279923,0.6753915548324585,0.03845023736357689,0.3669321835041046,0.6307367537018813,,,,,
7,13895,,,,,,10.225593804751954,0.6022277474403381,0.4089847415886254,0.44285035133361816,0.626689524198756
8,13999,9.916411926361851,0.5973209142684937,0.03542462736368179,0.4499714970588684,0.6255329213924657,,,,,
8,14499,10.700486538482075,0.6016436815261841,0.034869879484176636,0.4376285672187805,0.636009879116392,,,,,
8,14999,10.725093157743725,0.6102787852287292,0.03591664135456085,0.424658864736557,0.6377303090309907,,,,,
8,15499,10.034551824254503,0.6294782161712646,0.035075027495622635,0.40792420506477356,0.6229218309681649,,,,,
8,15632,,,,,,10.331621916594145,0.6505382657051086,0.40186692661526424,0.38560250401496887,0.6273048563484349
9,15999,10.38341736761354,0.5804962515830994,0.03606410324573517,0.46029841899871826,0.6319390803660716,,,,,
9,16499,10.691469715199794,0.5951586365699768,0.03512129187583923,0.45049363374710083,0.6263959557109634,,,,,
9,16999,10.125025460759685,0.5884351134300232,0.03627866506576538,0.46298569440841675,0.6294999868874342,,,,,
9,17369,,,,,,10.156764368562216,0.5889502167701721,0.4086921230735862,0.45464441180229187,0.625553985294494
10,17499,10.381619545266457,0.5890119075775146,0.034877173602581024,0.45964401960372925,0.6298394599621918,,,,,
10,17999,10.103920190117098,0.5993044972419739,0.03445594757795334,0.45006677508354187,0.625144517690931,,,,,
10,18499,10.494931056263066,0.5734810829162598,0.03506028652191162,0.47854673862457275,0.6262742940049472,,,,,
10,18999,10.000806632506201,0.6100848913192749,0.035754598677158356,0.44132477045059204,0.6304338408148098,,,,,
10,19106,,,,,,10.176263243653937,0.6020625829696655,0.40683725430108286,0.4571795165538788,0.6257763475941706
11,19499,9.807376955226893,0.5886491537094116,0.03443048149347305,0.45965176820755005,0.6246053250311945,,,,,
