epoch,step,tr_TV_reward,tr_acc_ranker,tr_loss_cls,tr_loss_ranker,tr_loss_reward,val_TV_reward,val_acc_ndcg_ranker,val_acc_prob_click,val_loss_ranker,val_loss_reward
0,499,12.1315361468417,0.6783761978149414,0.044476576149463654,0.38288336992263794,0.6511983873852996,,,,,
0,999,12.017362100722352,0.6691544055938721,0.04028191417455673,0.4135425388813019,0.6371614987592171,,,,,
0,1499,11.81631196024577,0.6678658127784729,0.03937844932079315,0.41425812244415283,0.6405333981719648,,,,,
0,1736,,,,,,11.569478768594047,0.655961275100708,0.3959196050092293,0.4550049901008606,0.638090906852156
1,1999,11.603095227944566,0.6466132402420044,0.038550615310668945,0.43113020062446594,0.6382388465953707,,,,,
1,2499,11.781823931313799,0.642636775970459,0.03669879585504532,0.4423893690109253,0.6376503328228089,,,,,
1,2999,12.005081513187402,0.6468273401260376,0.037151120603084564,0.4313594102859497,0.6450648117740034,,,,,
1,3473,,,,,,11.730040838519654,0.67664635181427,0.39905673672913267,0.43994376063346863,0.6403600022089427
2,3499,11.870574089006407,0.6664764881134033,0.03662986680865288,0.4308290481567383,0.6374943411483285,,,,,
2,3999,11.910364907187786,0.6530104875564575,0.03537991642951965,0.43378958106040955,0.6455037711787799,,,,,
2,4499,11.337934395224874,0.6391310691833496,0.03419700637459755,0.4464007616043091,0.6373770514739929,,,,,
2,4999,11.649048363044873,0.6662026643753052,0.034995291382074356,0.4298528730869293,0.6381995499395863,,,,,
2,5210,,,,,,11.626593630598384,0.6677834987640381,0.39589172335039324,0.439109742641449,0.6387946484645007
3,5499,11.922688457386837,0.6720531582832336,0.03489235043525696,0.42388883233070374,0.644398291188651,,,,,
3,5999,12.342529754244826,0.6504697799682617,0.034634076058864594,0.4337437152862549,0.6463481904578922,,,,,
3,6499,11.524979267146312,0.6262589693069458,0.03397499397397041,0.45261624455451965,0.6407614013508369,,,,,
3,6947,,,,,,11.7427157685002,0.6767487525939941,0.39431964220069565,0.440341055393219,0.6391035013274775
4,6999,11.403810374513863,0.6655734777450562,0.033942632377147675,0.4343098998069763,0.6389404156709215,,,,,
4,7499,12.336189283727204,0.6567457914352417,0.03354114666581154,0.43721914291381836,0.6458838707948984,,,,,
4,7999,11.619244079771969,0.6382641792297363,0.033476851880550385,0.4275154173374176,0.6355402531978531,,,,,
4,8499,11.673822064973894,0.6579850912094116,0.03275062143802643,0.43567758798599243,0.6421095280659073,,,,,
4,8684,,,,,,11.471196877530105,0.6545467972755432,0.4003827177931467,0.4548827111721039,0.6375651277805219
